id,name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price,age,km_class,km_per_year,km_per_month,company
29,Hero Honda Splendor NXG,21000.0,2009,Individual,1st owner,10000,,15,2,666.667,55.556,Hero Honda
30,Hero Glamour 125,55000.0,2017,Individual,1st owner,2500,61600.0,7,1,357.143,29.762,Hero
31,Yamaha FZ S [2012-2016],38000.0,2013,Individual,1st owner,75000,79432.0,11,15,6818.182,568.182,Yamaha
32,Hero Xtreme Sports,43000.0,2016,Individual,2nd owner,50000,78350.0,8,10,6250.0,520.833,Hero
33,Honda X-Blade,65000.0,2018,Individual,1st owner,27000,,6,6,4500.0,375.0,Honda
34,Honda CB Shine SP,62000.0,2019,Individual,1st owner,10000,71049.0,5,2,2000.0,166.667,Honda
35,Honda Activa 5G,60000.0,2018,Individual,1st owner,6502,57557.0,6,2,1083.667,90.306,Honda
36,Hero Glamour 125,45000.0,2018,Individual,1st owner,21000,61600.0,6,5,3500.0,291.667,Hero
37,Honda CBR-250R,120000.0,2016,Individual,1st owner,16000,202310.0,8,4,2000.0,166.667,Honda
38,Hero Honda Passion PRO [2012],30000.0,2011,Individual,1st owner,42000,,13,9,3230.769,269.231,Hero Honda
39,Royal Enfield Thunderbird 350,90000.0,2015,Individual,3rd owner,13000,,9,3,1444.444,120.37,Royal Enfield
40,Bajaj Dominar 400,125000.0,2017,Individual,1st owner,12800,,7,3,1828.571,152.381,Bajaj
41,Hero Glamour FI,50000.0,2018,Individual,1st owner,20000,71150.0,6,4,3333.333,277.778,Hero
42,KTM 390 Duke,175000.0,2017,Individual,1st owner,4600,,7,1,657.143,54.762,KTM
43,Hero Passion XPro,28000.0,2012,Individual,1st owner,81000,56750.0,12,17,6750.0,562.5,Hero
44,Yamaha FZ S V 2.0,85000.0,2018,Individual,1st owner,8000,84042.0,6,2,1333.333,111.111,Yamaha
45,Hero Achiever 150,29900.0,2016,Individual,1st owner,55000,69750.0,8,11,6875.0,572.917,Hero
46,Bajaj Discover 125,25000.0,2011,Individual,1st owner,57000,60122.0,13,12,4384.615,365.385,Bajaj
47,Yamaha FZ16,30000.0,2009,Individual,2nd owner,26000,78712.0,15,6,1733.333,144.444,Yamaha
48,Yamaha Saluto,60000.0,2018,Individual,1st owner,13000,59844.0,6,3,2166.667,180.556,Yamaha
49,Yamaha FZ16,35000.0,2012,Individual,2nd owner,29000,78712.0,12,6,2416.667,201.389,Yamaha
50,Bajaj Discover 100,25000.0,2010,Individual,1st owner,43000,42859.0,14,9,3071.429,255.952,Bajaj
51,Honda CB Trigger,30000.0,2015,Individual,1st owner,40000,73413.0,9,8,4444.444,370.37,Honda
52,Royal Enfield Electra 5 S,90000.0,2010,Individual,2nd owner,40000,,14,8,2857.143,238.095,Royal Enfield
53,Hero Splendor PRO,35000.0,2015,Individual,2nd owner,24000,49900.0,9,5,2666.667,222.222,Hero
54,Honda Activa 5G,70000.0,2019,Individual,1st owner,3000,59422.0,5,1,600.0,50.0,Honda
55,Hero Honda Passion Plus,25000.0,2006,Individual,1st owner,75000,,18,15,4166.667,347.222,Hero Honda
56,Bajaj Pulsar 150,25000.0,2010,Individual,1st owner,42000,,14,9,3000.0,250.0,Bajaj
57,Royal Enfield Bullet 350,90000.0,2014,Individual,1st owner,13000,,10,3,1300.0,108.333,Royal Enfield
58,Bajaj Discover 125,25000.0,2013,Individual,1st owner,55000,57549.0,11,11,5000.0,416.667,Bajaj
59,Bajaj Pulsar 150 [2001-2011],42000.0,2011,Individual,1st owner,23000,,13,5,1769.231,147.436,Bajaj
60,Hero Splendor PRO,35000.0,2015,Individual,2nd owner,24000,51994.0,9,5,2666.667,222.222,Hero
61,Hero Xtreme Sports,50000.0,2014,Individual,1st owner,80000,80350.0,10,16,8000.0,666.667,Hero
62,Honda Activa 3G,30000.0,2015,Individual,1st owner,39000,54605.0,9,8,4333.333,361.111,Honda
63,Yamaha FZ16,48000.0,2016,Individual,1st owner,20000,78712.0,8,4,2500.0,208.333,Yamaha
64,Honda CB Hornet 160R,65000.0,2016,Individual,1st owner,30000,88161.0,8,6,3750.0,312.5,Honda
65,Royal Enfield Thunderbird 350,85000.0,2013,Individual,1st owner,21000,,11,5,1909.091,159.091,Royal Enfield
66,Hero Hunk,45000.0,2014,Individual,1st owner,41000,78513.0,10,9,4100.0,341.667,Hero
67,Suzuki Let''s,34000.0,2014,Individual,1st owner,8000,50098.0,10,2,800.0,66.667,Suzuki
68,Royal Enfield Electra 4 S,90000.0,2008,Individual,1st owner,50000,,16,10,3125.0,260.417,Royal Enfield
69,TVS Scooty Pep Plus,35000.0,2012,Individual,1st owner,8150,,12,2,679.167,56.597,TVS
70,Mahindra Mojo XT300,165000.0,2017,Individual,1st owner,1933,195500.0,7,1,276.143,23.012,Mahindra
71,TVS Apache RTR 160,35000.0,2013,Individual,1st owner,55750,,11,12,5068.182,422.349,TVS
72,Bajaj Pulsar AS200,65000.0,2015,Individual,1st owner,15856,92074.0,9,4,1761.778,146.815,Bajaj
73,Bajaj Pulsar 150,29500.0,2013,Individual,1st owner,27000,,11,6,2454.545,204.545,Bajaj
74,Royal Enfield Thunderbird 350X,165000.0,2019,Individual,1st owner,3700,164004.0,5,1,740.0,61.667,Royal Enfield
75,Suzuki Intruder 150,95000.0,2018,Individual,1st owner,21938,,6,5,3656.333,304.694,Suzuki
76,Hero Honda Karizma ZMR [2010],50000.0,2010,Individual,1st owner,48000,,14,10,3428.571,285.714,Hero Honda
77,Honda Dio,7500.0,2009,Individual,2nd owner,16000,,15,4,1066.667,88.889,Honda
78,Bajaj Xcd,25000.0,2008,Individual,1st owner,54000,,16,11,3375.0,281.25,Bajaj
79,Hero Splendor Plus,35000.0,2014,Individual,2nd owner,35000,,10,7,3500.0,291.667,Hero
80,Royal Enfield Thunderbird 350X,160000.0,2018,Individual,1st owner,15000,,6,3,2500.0,208.333,Royal Enfield
81,Honda CB Unicorn 150,50000.0,2014,Individual,1st owner,32000,74295.0,10,7,3200.0,266.667,Honda
82,Honda Activa 5G,62000.0,2019,Individual,1st owner,3500,57557.0,5,1,700.0,58.333,Honda
83,Honda CB Twister,30000.0,2013,Individual,1st owner,9000,53857.0,11,2,818.182,68.182,Honda
84,Hero Splendor PRO,28000.0,2015,Individual,1st owner,38000,49642.0,9,8,4222.222,351.852,Hero
85,Hero Honda CD Deluxe,25000.0,2009,Individual,1st owner,50000,,15,10,3333.333,277.778,Hero Honda
86,Honda Activa i [2016-2017],30000.0,2015,Individual,2nd owner,20000,51112.0,9,4,2222.222,185.185,Honda
87,Royal Enfield Classic Gunmetal Grey,140000.0,2018,Individual,1st owner,22000,148114.0,6,5,3666.667,305.556,Royal Enfield
88,TVS Scooty Zest 110,30000.0,2017,Individual,1st owner,9432,53751.0,7,2,1347.429,112.286,TVS
89,Hero CD Deluxe,25000.0,2014,Individual,1st owner,70000,,10,14,7000.0,583.333,Hero
90,Suzuki Access 125 [2007-2016],22000.0,2010,Individual,2nd owner,43000,58314.0,14,9,3071.429,255.952,Suzuki
91,Honda Activa [2000-2015],22989.0,2012,Individual,1st owner,500000,50267.0,12,100,41666.667,3472.222,Honda
92,Honda Activa 125 [2016-2017],42000.0,2016,Individual,1st owner,30514,61653.0,8,7,3814.25,317.854,Honda
93,Suzuki GS150R,30000.0,2010,Individual,1st owner,130000,70851.0,14,26,9285.714,773.809,Suzuki
94,Bajaj Pulsar 220S,55000.0,2015,Individual,1st owner,45000,,9,9,5000.0,416.667,Bajaj
95,Honda Activa 4G,45000.0,2018,Individual,1st owner,25000,53079.0,6,5,4166.667,347.222,Honda
96,Yamaha FZ25,150000.0,2019,Individual,1st owner,2500,133680.0,5,1,500.0,41.667,Yamaha
97,Bajaj Pulsar 150,42000.0,2015,Individual,1st owner,22770,,9,5,2530.0,210.833,Bajaj
98,Hero Splendor Plus,30000.0,2015,Individual,1st owner,30000,,9,6,3333.333,277.778,Hero
99,Bajaj Discover 100,24999.0,2012,Individual,2nd owner,35000,42859.0,12,7,2916.667,243.056,Bajaj
100,Royal Enfield Thunderbird 350X,160000.0,2019,Individual,1st owner,6330,,5,2,1266.0,105.5,Royal Enfield
101,Royal Enfield Classic 350,175000.0,2020,Individual,1st owner,500,,4,1,125.0,10.417,Royal Enfield
102,Bajaj Pulsar 150,40000.0,2013,Individual,1st owner,43400,,11,9,3945.455,328.788,Bajaj
103,Bajaj Pulsar NS160,85000.0,2018,Individual,1st owner,7004,,6,2,1167.333,97.278,Bajaj
104,Royal Enfield Classic Desert Storm,150000.0,2017,Individual,1st owner,16500,181445.0,7,4,2357.143,196.429,Royal Enfield
105,Suzuki Gixxer SF,80000.0,2018,Individual,1st owner,12500,,6,3,2083.333,173.611,Suzuki
106,TVS Apache RTR 200 4V,95000.0,2018,Individual,1st owner,9600,,6,2,1600.0,133.333,TVS
107,Bajaj V15,42000.0,2016,Individual,1st owner,35000,65626.0,8,7,4375.0,364.583,Bajaj
108,TVS XL 100 Heavy Duty,40000.0,2019,Individual,1st owner,11000,,5,3,2200.0,183.333,TVS
109,Yamaha FZ S V 2.0,50000.0,2015,Individual,1st owner,20000,84042.0,9,4,2222.222,185.185,Yamaha
110,Hero HF Deluxe,40000.0,2018,Individual,1st owner,13000,,6,3,2166.667,180.556,Hero
111,Aprilia SR 125,75000.0,2019,Individual,1st owner,3500,,5,1,700.0,58.333,Aprilia
112,Yamaha FZ25,120000.0,2017,Individual,1st owner,9000,132680.0,7,2,1285.714,107.143,Yamaha
113,Hero Honda Glamour,30000.0,2008,Individual,1st owner,7500,,16,2,468.75,39.062,Hero Honda
114,Bajaj Discover 125 ST,17500.0,2013,Individual,1st owner,38000,58438.0,11,8,3454.545,287.879,Bajaj
115,Hero Honda Passion Plus,7500.0,2004,Individual,1st owner,120000,,20,24,6000.0,500.0,Hero Honda
116,Honda Aviator,57000.0,2018,Individual,1st owner,6465,61118.0,6,2,1077.5,89.792,Honda
117,Vespa SXL 149,80000.0,2018,Individual,1st owner,18803,,6,4,3133.833,261.153,Vespa
118,TVS Scooty Pep Plus,18000.0,2010,Individual,1st owner,20000,,14,4,1428.571,119.048,TVS
119,Hero Xtreme [2013-2014],25000.0,2013,Individual,1st owner,24000,75936.0,11,5,2181.818,181.818,Hero
120,Royal Enfield Thunderbird 350,83900.0,2014,Individual,2nd owner,22000,,10,5,2200.0,183.333,Royal Enfield
121,UM Renegade Commando,160000.0,2018,Individual,1st owner,7000,180525.0,6,2,1166.667,97.222,UM
122,Royal Enfield Classic Gunmetal Grey,135000.0,2018,Individual,1st owner,6100,148114.0,6,2,1016.667,84.722,Royal Enfield
123,Honda CB Hornet 160R,55000.0,2017,Individual,1st owner,14000,87543.0,7,3,2000.0,166.667,Honda
124,Honda Shine,50000.0,2017,Individual,1st owner,23000,,7,5,3285.714,273.81,Honda
125,Bajaj Discover 100,20000.0,2012,Individual,1st owner,85000,42859.0,12,17,7083.333,590.278,Bajaj
126,Hero Honda CBZ extreme,25000.0,2010,Individual,1st owner,40000,,14,8,2857.143,238.095,Hero Honda
127,Royal Enfield Classic 350,125000.0,2017,Individual,1st owner,18000,,7,4,2571.429,214.286,Royal Enfield
128,Honda Activa 5G,55000.0,2019,Individual,1st owner,10000,57557.0,5,2,2000.0,166.667,Honda
129,Bajaj Avenger Street 150 [2018],50000.0,2016,Individual,1st owner,40000,80435.0,8,8,5000.0,416.667,Bajaj
130,Royal Enfield Continental GT 650,299000.0,2019,Individual,1st owner,1500,,5,1,300.0,25.0,Royal Enfield
131,Honda Activa 3G,60000.0,2015,Individual,1st owner,30000,54605.0,9,6,3333.333,277.778,Honda
132,Honda Activa 3G,40000.0,2015,Individual,1st owner,3000,54605.0,9,1,333.333,27.778,Honda
133,Bajaj Pulsar 180,15000.0,2008,Individual,1st owner,55000,85011.0,16,11,3437.5,286.458,Bajaj
134,Harley-Davidson Street Bob,750000.0,2013,Individual,2nd owner,12000,1278000.0,11,3,1090.909,90.909,Harley-Davidson
135,Hero Honda CBZ extreme,20000.0,2007,Individual,1st owner,90000,,17,18,5294.118,441.177,Hero Honda
136,Royal Enfield Classic Gunmetal Grey,190000.0,2020,Individual,1st owner,500,155740.0,4,1,125.0,10.417,Royal Enfield
137,KTM 390 Duke ABS [2013-2016],130000.0,2015,Individual,1st owner,50000,202127.0,9,10,5555.556,462.963,KTM
138,Honda CB Hornet 160R,54786.0,2016,Individual,1st owner,25000,88161.0,8,5,3125.0,260.417,Honda
139,KTM 200 Duke,72000.0,2013,Individual,1st owner,36500,,11,8,3318.182,276.515,KTM
140,Hero Karizma 2014,35000.0,2013,Individual,1st owner,26000,86744.0,11,6,2363.636,196.97,Hero
141,Hero Glamour 125,45000.0,2017,Individual,1st owner,18000,61600.0,7,4,2571.429,214.286,Hero
142,Royal Enfield Classic 350,85000.0,2013,Individual,1st owner,49000,,11,10,4454.545,371.212,Royal Enfield
143,Royal Enfield Classic 500,100000.0,2013,Individual,1st owner,18000,156304.0,11,4,1636.364,136.364,Royal Enfield
144,Bajaj Dominar 400,138000.0,2017,Individual,1st owner,15000,,7,3,2142.857,178.571,Bajaj
145,Royal Enfield Thunderbird 350X,150000.0,2018,Individual,1st owner,8500,,6,2,1416.667,118.056,Royal Enfield
146,KTM RC 390,180000.0,2017,Individual,1st owner,3775,,7,1,539.286,44.94,KTM
147,Royal Enfield Thunderbird 350,100000.0,2015,Individual,1st owner,14500,,9,3,1611.111,134.259,Royal Enfield
148,Hero Hunk,20000.0,2010,Individual,1st owner,35000,78513.0,14,7,2500.0,208.333,Hero
149,KTM 390 Duke,170000.0,2017,Individual,1st owner,14000,,7,3,2000.0,166.667,KTM
150,Suzuki Gixxer [2014-2018],60000.0,2016,Individual,1st owner,16000,84246.0,8,4,2000.0,166.667,Suzuki
151,Royal Enfield Bullet 350,123000.0,2016,Individual,1st owner,7000,,8,2,875.0,72.917,Royal Enfield
152,Suzuki Access 125,60000.0,2017,Individual,1st owner,4000,,7,1,571.429,47.619,Suzuki
153,TVS Apache RTR 200 4V,100000.0,2017,Individual,1st owner,45000,,7,9,6428.571,535.714,TVS
154,Hero Xtreme Sports,22000.0,2014,Individual,1st owner,99000,78350.0,10,20,9900.0,825.0,Hero
155,Honda Activa [2000-2015],30000.0,2014,Individual,1st owner,52000,50267.0,10,11,5200.0,433.333,Honda
156,Bajaj Discover 125,28000.0,2013,Individual,1st owner,45000,60122.0,11,9,4090.909,340.909,Bajaj
157,Bajaj Pulsar 150,50000.0,2007,Individual,1st owner,52000,,17,11,3058.824,254.902,Bajaj
158,Yamaha Saluto RX,40000.0,2017,Individual,1st owner,27000,49521.0,7,6,3857.143,321.429,Yamaha
159,Hero HF Deluxe,43000.0,2018,Individual,1st owner,60000,,6,12,10000.0,833.333,Hero
160,Suzuki Access 125,40000.0,2015,Individual,1st owner,2300,,9,1,255.556,21.296,Suzuki
161,Royal Enfield Classic Desert Storm,100000.0,2012,Individual,1st owner,15000,181445.0,12,3,1250.0,104.167,Royal Enfield
162,Hero HF Deluxe,30000.0,2016,Individual,1st owner,50000,,8,10,6250.0,520.833,Hero
163,KTM RC 200,130000.0,2017,Individual,1st owner,27000,,7,6,3857.143,321.429,KTM
164,Honda CB Hornet 160R,48000.0,2016,Individual,2nd owner,25000,88161.0,8,5,3125.0,260.417,Honda
165,Bajaj CT 100,32000.0,2017,Individual,1st owner,40000,,7,8,5714.286,476.19,Bajaj
166,Hero Honda Pleasure,23000.0,2010,Individual,1st owner,32000,,14,7,2285.714,190.476,Hero Honda
167,Bajaj Pulsar 135 LS,20000.0,2010,Individual,2nd owner,50000,64589.0,14,10,3571.429,297.619,Bajaj
168,Royal Enfield Classic 350,125000.0,2017,Individual,1st owner,36000,,7,8,5142.857,428.571,Royal Enfield
169,Honda Navi [2016-2017],23000.0,2016,Individual,1st owner,17450,44389.0,8,4,2181.25,181.771,Honda
170,Bajaj Discover 125,15000.0,2011,Individual,1st owner,32000,57549.0,13,7,2461.538,205.128,Bajaj
171,Yamaha SZ RR V 2.0,35000.0,2015,Individual,1st owner,38000,69983.0,9,8,4222.222,351.852,Yamaha
172,Bajaj Discover 150,25000.0,2014,Individual,2nd owner,71000,54299.0,10,15,7100.0,591.667,Bajaj
173,Bajaj Pulsar 150,80000.0,2019,Individual,1st owner,8000,,5,2,1600.0,133.333,Bajaj
174,TVS Flame,15000.0,2010,Individual,1st owner,12000,,14,3,857.143,71.429,TVS
175,Vespa VX 125,45000.0,2013,Individual,2nd owner,50000,72303.0,11,10,4545.455,378.788,Vespa
176,Yamaha SZ X,25000.0,2012,Individual,2nd owner,30000,65800.0,12,6,2500.0,208.333,Yamaha
177,Honda CBF Stunner,35000.0,2013,Individual,1st owner,15888,58757.0,11,4,1444.364,120.364,Honda
178,Bajaj Discover 100 T,25000.0,2013,Individual,1st owner,26000,47032.0,11,6,2363.636,196.97,Bajaj
179,Royal Enfield Classic 350,170000.0,2018,Individual,1st owner,5600,,6,2,933.333,77.778,Royal Enfield
180,Honda Activa [2000-2015],25000.0,2014,Individual,1st owner,41000,50267.0,10,9,4100.0,341.667,Honda
181,Royal Enfield Electra 5 S,60000.0,2007,Individual,2nd owner,19612,,17,4,1153.647,96.137,Royal Enfield
182,Bajaj Pulsar 150,41000.0,2012,Individual,1st owner,17000,,12,4,1416.667,118.056,Bajaj
183,Honda Shine,35000.0,2012,Individual,1st owner,33700,,12,7,2808.333,234.028,Honda
184,Honda CB Unicorn 160,75000.0,2015,Individual,1st owner,100000,79233.0,9,20,11111.111,925.926,Honda
185,Honda Activa 3G,47999.0,2016,Individual,1st owner,6000,54605.0,8,2,750.0,62.5,Honda
186,Honda Shine,36999.0,2011,Individual,1st owner,21000,,13,5,1615.385,134.615,Honda
187,Bajaj Pulsar 180,25000.0,2007,Individual,1st owner,80000,85011.0,17,16,4705.882,392.157,Bajaj
188,Suzuki Gixxer SF,60000.0,2016,Individual,1st owner,15000,,8,3,1875.0,156.25,Suzuki
189,Honda CB Unicorn 150,50000.0,2007,Individual,1st owner,46000,74295.0,17,10,2705.882,225.49,Honda
190,Yamaha YZF R15 [2011-2018],65000.0,2013,Individual,1st owner,11000,118997.0,11,3,1000.0,83.333,Yamaha
191,TVS Sport,12000.0,2007,Individual,1st owner,72000,,17,15,4235.294,352.941,TVS
192,Bajaj Pulsar AS200,60000.0,2015,Individual,1st owner,50000,92074.0,9,10,5555.556,462.963,Bajaj
193,Honda Activa [2000-2015],20000.0,2010,Individual,1st owner,50000,50267.0,14,10,3571.429,297.619,Honda
194,Yamaha FZ16,27000.0,2011,Individual,1st owner,67000,78712.0,13,14,5153.846,429.487,Yamaha
195,Bajaj Boxer,10000.0,2000,Individual,1st owner,30000,,24,6,1250.0,104.167,Bajaj
196,Hero Honda Hunk,56000.0,2015,Individual,1st owner,48000,,9,10,5333.333,444.444,Hero Honda
197,Hero Honda Hunk,58000.0,2015,Individual,1st owner,48000,,9,10,5333.333,444.444,Hero Honda
198,Bajaj Avenger Cruise 220,87000.0,2018,Individual,1st owner,8000,,6,2,1333.333,111.111,Bajaj
199,Yamaha Ray Z,35000.0,2015,Individual,1st owner,15500,52949.0,9,4,1722.222,143.518,Yamaha
200,Bajaj Pulsar 180,35000.0,2012,Individual,1st owner,45000,85011.0,12,9,3750.0,312.5,Bajaj
201,Bajaj Discover 150F,40000.0,2014,Individual,2nd owner,60855,64071.0,10,13,6085.5,507.125,Bajaj
202,Bajaj Pulsar 135 LS,56000.0,2017,Individual,3rd owner,37714,64589.0,7,8,5387.714,448.976,Bajaj
203,Bajaj Pulsar 180,30000.0,2008,Individual,2nd owner,60000,85011.0,16,12,3750.0,312.5,Bajaj
204,Honda Activa 125 [2016-2017],40000.0,2017,Individual,1st owner,26000,61545.0,7,6,3714.286,309.524,Honda
205,Hero HF Deluxe,60000.0,2019,Individual,1st owner,6000,,5,2,1200.0,100.0,Hero
206,Hero Karizma 2014,40000.0,2013,Individual,1st owner,30000,86744.0,11,6,2727.273,227.273,Hero
207,Bajaj Platina 100,40000.0,2018,Individual,1st owner,17000,,6,4,2833.333,236.111,Bajaj
208,Royal Enfield Bullet 500,130000.0,2015,Individual,1st owner,34601,168482.0,9,7,3844.556,320.38,Royal Enfield
209,Bajaj Pulsar AS200,45000.0,2015,Individual,1st owner,48000,92074.0,9,10,5333.333,444.444,Bajaj
210,Yamaha FZ S [2012-2016],42000.0,2013,Individual,1st owner,60000,79432.0,11,12,5454.545,454.545,Yamaha
211,Bajaj Pulsar 220 Fi,25000.0,2012,Individual,1st owner,44000,,12,9,3666.667,305.556,Bajaj
212,Bajaj Pulsar 150,15000.0,2006,Individual,1st owner,55000,,18,11,3055.556,254.63,Bajaj
213,Bajaj Dominar 400 [2018],170000.0,2018,Individual,1st owner,16000,163331.0,6,4,2666.667,222.222,Bajaj
214,Hero Passion X Pro [2016-2017],38000.0,2016,Individual,2nd owner,20000,59095.0,8,4,2500.0,208.333,Hero
215,Yamaha FZ S V 2.0,60000.0,2015,Individual,2nd owner,17500,84042.0,9,4,1944.444,162.037,Yamaha
216,TVS Apache RTR 160,65000.0,2017,Individual,1st owner,46000,,7,10,6571.429,547.619,TVS
217,Bajaj Avenger [2015],35000.0,2011,Individual,1st owner,30000,75502.0,13,6,2307.692,192.308,Bajaj
218,Bajaj Pulsar 150,70000.0,2019,Individual,1st owner,6500,,5,2,1300.0,108.333,Bajaj
219,Hero Honda Glamour,15000.0,2006,Individual,1st owner,80000,,18,16,4444.444,370.37,Hero Honda
220,Hero Splendor iSmart,50000.0,2017,Individual,2nd owner,10000,52271.0,7,2,1428.571,119.048,Hero
221,Royal Enfield Classic 350,145000.0,2017,Individual,1st owner,2200,,7,1,314.286,26.191,Royal Enfield
222,Yamaha FZ16,25000.0,2008,Individual,1st owner,40000,78712.0,16,8,2500.0,208.333,Yamaha
223,Hero Xtreme Sports,58000.0,2016,Individual,1st owner,21000,80350.0,8,5,2625.0,218.75,Hero
224,Royal Enfield Bullet 350 [2007-2011],90000.0,2007,Individual,1st owner,3500,,17,1,205.882,17.157,Royal Enfield
225,Hero Honda Passion,9000.0,2002,Individual,2nd owner,66191,,22,14,3008.682,250.723,Hero Honda
226,Bajaj Discover 150S,40000.0,2014,Individual,1st owner,50000,63331.0,10,10,5000.0,416.667,Bajaj
227,TVS Scooty Zest 110,28000.0,2015,Individual,1st owner,32800,52372.0,9,7,3644.444,303.704,TVS
228,Bajaj Avenger Street 150 [2018],50000.0,2016,Individual,1st owner,32000,80435.0,8,7,4000.0,333.333,Bajaj
229,Yamaha Cygnus Ray ZR,56000.0,2019,Individual,1st owner,3900,58630.0,5,1,780.0,65.0,Yamaha
230,Honda Activa [2000-2015],35000.0,2014,Individual,1st owner,10000,50267.0,10,2,1000.0,83.333,Honda
231,TVS Apache RTR 200 4V,95000.0,2018,Individual,1st owner,9600,,6,2,1600.0,133.333,TVS
232,Honda Shine,30000.0,2010,Individual,1st owner,46782,,14,10,3341.571,278.464,Honda
233,Honda CB Hornet 160R,95000.0,2019,Individual,1st owner,8000,94703.0,5,2,1600.0,133.333,Honda
234,Honda Activa i [2016-2017],40000.0,2017,Individual,1st owner,11000,53436.0,7,3,1571.429,130.952,Honda
235,Hero Karizma 2014,30000.0,2014,Individual,2nd owner,51000,86744.0,10,11,5100.0,425.0,Hero
236,Bajaj Discover 100 T,18000.0,2013,Individual,1st owner,45000,47032.0,11,9,4090.909,340.909,Bajaj
237,Honda Aviator,14000.0,2008,Individual,1st owner,66000,59183.0,16,14,4125.0,343.75,Honda
238,Hero Splendor Plus,17000.0,2010,Individual,2nd owner,50000,,14,10,3571.429,297.619,Hero
239,Royal Enfield Thunderbird 350,125000.0,2017,Individual,1st owner,23500,,7,5,3357.143,279.762,Royal Enfield
240,Bajaj CT 110,20000.0,2015,Individual,1st owner,25000,,9,5,2777.778,231.481,Bajaj
241,Hero Passion PRO i3s,50000.0,2017,Individual,1st owner,41000,56925.0,7,9,5857.143,488.095,Hero
242,KTM RC 390,210000.0,2017,Individual,1st owner,12000,,7,3,1714.286,142.857,KTM
243,Bajaj Pulsar 220F,70000.0,2018,Individual,1st owner,33000,,6,7,5500.0,458.333,Bajaj
244,Hero Maestro Edge,40000.0,2017,Individual,1st owner,15000,55980.0,7,3,2142.857,178.571,Hero
245,Bajaj Xcd,10000.0,2008,Individual,1st owner,50000,,16,10,3125.0,260.417,Bajaj
